Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density
conv1,230,230,7,7,3,64,2,1,1,1
layer1.0.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.0.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.0.conv1,58,58,3,3,64,64,1,0.9995366335,0.4230755866,1
layer1.0.conv2,58,58,3,3,64,64,1,0.9995366335,1,0.4230755866
layer1.1.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.1.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.1.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.1.conv1,58,58,3,3,64,64,1,0.0005377244,0.3277507126,1
layer1.1.conv2,58,58,3,3,64,64,1,0.0005377244,1,0.3277507126
layer1.2.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.2.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.2.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.2.conv1,58,58,3,3,64,64,1,0.5652006865,0.0959185287,1
layer1.2.conv2,58,58,3,3,64,64,1,0.5652006865,1,0.0959185287
layer2.0.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer2.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer2.0.mask_c.atten_c.3,1,1,1,1,16,128,1,1,1,1
layer2.0.conv1,58,58,3,3,64,128,2,0.9899991155,0.6883907318,1
layer2.0.conv2,30,30,3,3,128,128,1,0.9899991155,1,0.6883907318
layer2.0.downsample.0,56,56,1,1,64,128,2,1,1,1
layer2.1.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.1.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.1.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.1.conv1,30,30,3,3,128,128,1,0.9756695628,0.3450605869,1
layer2.1.conv2,30,30,3,3,128,128,1,0.9756695628,1,0.3450605869
layer2.2.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.2.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.2.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.2.conv1,30,30,3,3,128,128,1,0.1489401162,0.2788818181,1
layer2.2.conv2,30,30,3,3,128,128,1,0.1489401162,1,0.2788818181
layer2.3.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.3.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.3.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.3.conv1,30,30,3,3,128,128,1,0.9113805294,0.5383540392,1
layer2.3.conv2,30,30,3,3,128,128,1,0.9113805294,1,0.5383540392
layer3.0.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer3.0.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer3.0.mask_c.atten_c.3,1,1,1,1,32,256,1,1,1,1
layer3.0.conv1,30,30,3,3,128,256,2,0.9587396979,0.7788100243,1
layer3.0.conv2,16,16,3,3,256,256,1,0.9587396979,1,0.7788100243
layer3.0.downsample.0,28,28,1,1,128,256,2,1,1,1
layer3.1.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.1.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.1.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.1.conv1,16,16,3,3,256,256,1,0.8786196113,0.5521295667,1
layer3.1.conv2,16,16,3,3,256,256,1,0.8786196113,1,0.5521295667
layer3.2.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.2.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.2.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.2.conv1,16,16,3,3,256,256,1,0.8772194386,0.4618803859,1
layer3.2.conv2,16,16,3,3,256,256,1,0.8772194386,1,0.4618803859
layer3.3.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.3.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.3.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.3.conv1,16,16,3,3,256,256,1,0.5635470748,0.5226125121,1
layer3.3.conv2,16,16,3,3,256,256,1,0.5635470748,1,0.5226125121
