Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,l_density,n_density,m_density
conv1,230,230,7,7,3,64,2,1,1,1
layer1.0.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.0.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.0.conv1,58,58,3,3,64,64,1,0.9912140369,0.3537097573,1
layer1.0.conv2,58,58,3,3,64,64,1,0.9912140369,1,0.3537097573
layer1.1.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.1.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.1.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.1.conv1,58,58,3,3,64,64,1,0.0088542486,0.3302088678,1
layer1.1.conv2,58,58,3,3,64,64,1,0.0088542486,1,0.3302088678
layer1.2.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer1.2.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer1.2.mask_c.atten_c.3,1,1,1,1,16,64,1,1,1,1
layer1.2.conv1,58,58,3,3,64,64,1,0,0.6560199261,1
layer1.2.conv2,58,58,3,3,64,64,1,0,1,0.6560199261
layer2.0.mask_s.atten_s,9,9,3,3,64,1,1,1,1,1
layer2.0.mask_c.atten_c.0,1,1,1,1,64,16,1,1,1,1
layer2.0.mask_c.atten_c.3,1,1,1,1,16,128,1,1,1,1
layer2.0.conv1,58,58,3,3,64,128,2,0.9861816764,0.7192056775,1
layer2.0.conv2,30,30,3,3,128,128,1,0.9861816764,1,0.7192056775
layer2.0.downsample.0,56,56,1,1,64,128,2,1,1,1
layer2.1.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.1.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.1.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.1.conv1,30,30,3,3,128,128,1,0.9780575633,0.2377259135,1
layer2.1.conv2,30,30,3,3,128,128,1,0.9780575633,1,0.2377259135
layer2.2.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.2.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.2.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.2.conv1,30,30,3,3,128,128,1,0.8505718708,0.2129725218,1
layer2.2.conv2,30,30,3,3,128,128,1,0.8505718708,1,0.2129725218
layer2.3.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer2.3.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer2.3.mask_c.atten_c.3,1,1,1,1,32,128,1,1,1,1
layer2.3.conv1,30,30,3,3,128,128,1,0.0318942666,0.2286964655,1
layer2.3.conv2,30,30,3,3,128,128,1,0.0318942666,1,0.2286964655
layer3.0.mask_s.atten_s,9,9,3,3,128,1,1,1,1,1
layer3.0.mask_c.atten_c.0,1,1,1,1,128,32,1,1,1,1
layer3.0.mask_c.atten_c.3,1,1,1,1,32,256,1,1,1,1
layer3.0.conv1,30,30,3,3,128,256,2,0.9609344602,0.8295240402,1
layer3.0.conv2,16,16,3,3,256,256,1,0.9609344602,1,0.8295240402
layer3.0.downsample.0,28,28,1,1,128,256,2,1,1,1
layer3.1.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.1.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.1.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.1.conv1,16,16,3,3,256,256,1,0.8481256962,0.4259686172,1
layer3.1.conv2,16,16,3,3,256,256,1,0.8481256962,1,0.4259686172
layer3.2.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.2.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.2.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.2.conv1,16,16,3,3,256,256,1,0.8324173689,0.3429680169,1
layer3.2.conv2,16,16,3,3,256,256,1,0.8324173689,1,0.3429680169
layer3.3.mask_s.atten_s,9,9,3,3,256,1,1,1,1,1
layer3.3.mask_c.atten_c.0,1,1,1,1,256,64,1,1,1,1
layer3.3.mask_c.atten_c.3,1,1,1,1,64,256,1,1,1,1
layer3.3.conv1,16,16,3,3,256,256,1,0.4872576296,0.3965719938,1
layer3.3.conv2,16,16,3,3,256,256,1,0.4872576296,1,0.3965719938
